Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,3Y_MA
2018-01-02 00:00:00-05:00,239.16335263498945,240.02949939116968,238.77045963732996,239.9937744140625,86655700,0.0,0.0,0.0,
2018-01-03 00:00:00-05:00,240.16341082611956,241.6635599680099,240.16341082611956,241.51174926757812,90070400,0.0,0.0,0.0,
2018-01-04 00:00:00-05:00,242.16366049744695,243.0208693261491,241.57432091203384,242.5297393798828,80636400,0.0,0.0,0.0,
2018-01-05 00:00:00-05:00,243.33337736014855,244.27094686840172,242.83333665572363,244.1459503173828,83524000,0.0,0.0,0.0,
2018-01-08 00:00:00-05:00,244.04770350808496,244.7531287499794,243.75304738182055,244.5924072265625,57319200,0.0,0.0,0.0,
2018-01-09 00:00:00-05:00,245.02104856576457,245.7800478055723,244.73530318721916,245.1460723876953,57254000,0.0,0.0,0.0,
2018-01-10 00:00:00-05:00,244.3780573593958,245.038846743376,243.69944636392137,244.7709503173828,69574300,0.0,0.0,0.0,
2018-01-11 00:00:00-05:00,245.33358496170385,246.5569000244141,245.1639253434994,246.5569000244141,62361500,0.0,0.0,0.0,
2018-01-12 00:00:00-05:00,246.82479898800148,248.33383219880875,246.5211774838605,248.16419982910156,90816100,0.0,0.0,0.0,
2018-01-16 00:00:00-05:00,249.44107435638423,250.10183667978777,246.61046208553572,247.31588745117188,106555100,0.0,0.0,0.0,
2018-01-17 00:00:00-05:00,248.26233360689105,250.0660497116145,247.3158261484531,249.67315673828125,113258800,0.0,0.0,0.0,
2018-01-18 00:00:00-05:00,249.5571189666475,249.98570970027015,248.75345684075728,249.25352478027344,100728000,0.0,0.0,0.0,
2018-01-19 00:00:00-05:00,249.84282377053745,250.3875274658203,249.253511543103,250.3875274658203,140920100,0.0,0.0,0.0,
2018-01-22 00:00:00-05:00,250.1732029003077,252.4233856201172,250.1196018175361,252.4233856201172,91322400,0.0,0.0,0.0,
2018-01-23 00:00:00-05:00,252.46809856642548,253.25388468500273,252.13771741433675,252.959228515625,97084700,0.0,0.0,0.0,
2018-01-24 00:00:00-05:00,253.61100765774395,254.21822325512997,251.66441882393912,252.86094665527344,134816100,0.0,0.0,0.0,
2018-01-25 00:00:00-05:00,253.7361075119545,253.83431716366175,252.16453508319097,252.9681701660156,84587300,0.0,0.0,0.0,
2018-01-26 00:00:00-05:00,253.8163579518911,255.9415441304775,253.55739959605293,255.8968811035156,107743100,0.0,0.0,0.0,
2018-01-29 00:00:00-05:00,255.316576279036,255.76304321643164,254.03968737812744,254.20040893554688,90118300,0.0,0.0,0.0,
2018-01-30 00:00:00-05:00,252.34304803600477,254.25391182463443,251.1107952726912,251.59298706054688,131796400,0.0,0.0,0.0,
2018-01-31 00:00:00-05:00,252.45919845492685,252.9681500417796,250.6286677033696,251.71804809570312,108364800,0.0,0.0,0.0,
2018-02-01 00:00:00-05:00,250.97691902813585,252.7538486360801,250.62866175311547,251.4322967529297,90102500,0.0,0.0,0.0,
2018-02-02 00:00:00-05:00,250.09284760381033,250.22680945300263,245.92286267002157,245.9585876464844,173174800,0.0,0.0,0.0,
2018-02-05 00:00:00-05:00,244.17275958255271,246.31579526193025,235.11839773069823,235.67201232910156,294681800,0.0,0.0,0.0,
2018-02-06 00:00:00-05:00,232.10916911353297,240.8242100305224,231.0019401364364,240.3152313232422,355026800,0.0,0.0,0.0,
2018-02-07 00:00:00-05:00,239.7527350324837,243.199446560314,238.93122391305755,239.01161193847656,167376100,0.0,0.0,0.0,
